"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1",0,0.01,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.975931372,44.3819315211,160.83,"meters",-123.975931372449,44.3819315211255,TRUE
"2",0,0.02,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.974640986,44.3912315297,71.34,"meters",-123.974640985923,44.3912315297305,TRUE
"3",0,0.03,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.973349983,44.4005316885,170.24,"meters",-123.973349982947,44.4005316885433,TRUE
"4",0,0.04,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.972058363,44.4098319979,82.88,"meters",-123.972058362817,44.4098319978503,TRUE
"5",0,0.05,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.970766125,44.4191324579,200.89,"meters",-123.970766124831,44.4191324579381,TRUE
"6",0,0.06,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.969473268,44.4284330691,89.48,"meters",-123.969473268282,44.4284330690932,TRUE
"7",0,0.07,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.968179792,44.4377338316,206.28,"meters",-123.968179792468,44.4377338316026,TRUE
"8",0,0.08,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.966885697,44.4470347458,11.42,"meters",-123.966885696681,44.447034745753,TRUE
"9",0,0.09,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.96559098,44.4563358118,34.06,"meters",-123.965590980216,44.4563358118315,TRUE
"10",0,0.1,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.964295642,44.4656370301,28.07,"meters",-123.964295642365,44.4656370301253,TRUE
"11",0,0.11,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.962999682,44.4749384009,263.65,"meters",-123.962999682421,44.4749384009216,TRUE
"12",0,0.12,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.9617031,44.4842399245,160.95,"meters",-123.961703099674,44.4842399245078,TRUE
"13",0,0.13,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.960405893,44.4935416012,222.62,"meters",-123.960405893417,44.4935416011716,TRUE
"14",0,0.14,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.959108063,44.5028434312,155.27,"meters",-123.959108062937,44.5028434312006,TRUE
"15",0,0.15,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.957809608,44.5121454149,242.93,"meters",-123.957809607526,44.5121454148825,TRUE
"16",0,0.16,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.956510526,44.5214475525,99.11,"meters",-123.956510526471,44.5214475525052,TRUE
"17",0,0.17,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.955210819,44.5307498444,155.42,"meters",-123.95521081906,44.530749844357,TRUE
"18",0,0.18,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.953910485,44.5400522907,194.99,"meters",-123.95391048458,44.5400522907259,TRUE
"19",0,0.19,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.952609522,44.5493548919,182.3,"meters",-123.952609522317,44.5493548919002,TRUE
"20",0,0.2,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.951307932,44.5586576482,99.4,"meters",-123.951307931558,44.5586576481684,TRUE
"21",0,0.21,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.950005712,44.5679605598,111.52,"meters",-123.950005711586,44.567960559819,TRUE
"22",0,0.22,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.948702862,44.5772636271,37.55,"meters",-123.948702861687,44.5772636271408,TRUE
"23",0,0.23,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.947399381,44.5865668504,0.44,"meters",-123.947399381143,44.5865668504226,TRUE
"24",0,0.24,0,-2202863.68546,1100451.55069,-2140361.88767,1183744.89088,2,-123.946095269,44.59587023,47.43,"meters",-123.946095269238,44.5958702299533,TRUE
